Sample,CqH1,CqH2,CqH3,CqH4,CqH_CV,CqD1,CqD2,CqD3,CqD4,CqD_CV,CqC1,CqC2,CqC3,CqC4,CqC_CV,CqA1,CqA2,CqA3,CqA4,CqA_CV,CqH_avg,CqD_avg,CqC_avg,CqA_avg,CqH_scaled,CqD_scaled,CqC_scaled,CqA_scaled,SH_D,SH_C,SH_A,SH_T,%D,%C,%A
5.3,20.82,20.32,,,1.718781675,25.57,24.74,,,2.333129113,37.01,37.86,,,1.605558338,36.09,35.95,,,0.2748332853,20.57,25.155,37.435,36.02,20.57,25.155,36.205,36.02,1.321645103,0.00008130679042,0.0004724248013,1.322198834,0.999581204,0.00006149361829,0.0003573023883
5.5,19.82,19.23,,,2.136711912,27.38,27.47,,,0.2320496274,40,40,,,0,40,39.52,,,0.8536500376,19.525,27.425,40,39.76,19.525,27.425,38.77,39.76,0.1328007157,0.000006658992616,0.00001713579113,0.1328245104,0.9998208555,0.00005013376367,0.0001290107607
5.6,21.79,22.2,,,1.318089476,25.96,25.85,,,0.3002576566,39.81,40,,,0.336675325,35.53,37.91,,,4.583099508,21.995,25.905,39.905,36.72,21.995,25.905,38.675,36.72,2.110134306,0.000039404922,0.0007808712547,2.110954582,0.9996114193,0.00001866687343,0.0003699138112
6.1,17.81,18.14,,,1.29816544,27.31,26.76,,,1.438537931,40,40,,,0,29.96,30.46,,,1.170319068,17.975,27.035,40,30.21,17.975,27.035,38.77,30.21,0.05942998498,0.000002274112996,0.004386762529,0.06381902162,0.9312268266,0.00003563378031,0.06873753966
6.2,20.42,20.59,,,0.5862382482,28.01,27.07,,,2.413508984,40,40,,,0,39.45,36.07,,,6.329504556,20.505,27.54,40,37.76,20.505,27.54,38.77,37.76,0.2418752113,0.00001313463259,0.000135199021,0.2420235449,0.9993871106,0.0000542700612,0.0005586192909
6.3,18.82,19.06,,,0.8960170406,26.22,25.78,,,1.196642245,40,40,,,0,30.77,30.75,,,0.0459757335,18.94,26,40,30.76,18.94,26,38.77,30.76,0.2377199399,0.000004439213023,0.005848864677,0.2435732438,0.9759690194,0.00001822537219,0.0240127552
6.4,20.61,20.78,,,0.5808560174,28.11,28.47,,,0.8998177491,40,40,,,0,40,37.31,,,4.920753438,20.695,28.29,40,38.655,20.695,28.29,38.77,38.655,0.1640644791,0.00001498351228,0.00008293682393,0.1641623995,0.9994035154,0.00009127249804,0.0005052120594
6.6,20.38,20.42,,,0.1386483885,26,25.95,,,0.1361129511,40,40,,,0,29.08,29.29,,,0.5087970672,20.4,25.975,40,29.185,20.4,25.975,38.77,29.185,0.6654189357,0.00001221264631,0.0479399537,0.7133711021,0.9327808959,0.00001711962577,0.06720198443
7.1,19.42,19.04,,,1.397298892,26.35,25.86,,,1.327264213,40,40,,,0,40,40,,,0,19.23,26.105,40,40,19.23,26.105,38.77,40,0.2702440626,0.000005427560643,0.00001182641493,0.2702613165,0.9999361582,0.00002008263969,0.00004375918493
7.2,22.04,19.17,,,9.84904859,25.84,24.96,,,2.449818769,40,40,,,0,40,39.56,,,0.7821191144,20.605,25.4,40,39.78,20.605,25.4,38.77,39.78,1.142611398,0.00001407735065,0.00003572695108,1.142661202,0.9999564138,0.00001231979403,0.00003126644276
7.3,19.83,19.28,,,1.988794322,24.75,24.03,,,2.087400092,40,39.29,,,1.266353423,34.77,37.84,,,5.979390768,19.555,24.39,39.645,36.305,19.555,24.39,38.415,36.305,1.111366629,0.00000869571068,0.0001918640885,1.111567189,0.9998195702,0.000007822928534,0.0001726068297
7.5,20.37,20.32,,,0.1737790074,25.86,25.57,,,0.7974371633,40,40,,,0,38.33,39.74,,,2.554170774,20.345,25.715,40,39.035,20.345,25.715,38.77,39.035,0.7670193221,0.00001175582547,0.00005000293575,0.7670810809,0.9999194886,0.0000153254014,0.00006518598489
7.6,19.65,16.33,,,13.04944143,24.38,24.59,,,0.6064628305,40,40,,,0,34.86,35.81,,,1.901093653,17.99,24.485,40,35.335,17.99,24.485,38.77,35.335,0.3516799098,0.000002297880766,0.0001270225559,0.3518092302,0.9996324132,0.000006531610227,0.0003610552112
8.1,18.67,18.44,,,0.8764999174,26.6,26.81,,,0.5560472722,27.44,28.82,,,3.468920576,40,35.45,,,8.528391927,18.555,26.705,28.13,37.725,18.555,26.705,26.9,37.725,0.1116716457,0.01272434647,0.00003585098607,0.1244318432,0.897452315,0.1022595675,0.0002881174557
9.1,20.54,20.1,,,1.531136731,30.13,29.56,,,1.350480366,40,40,,,0,26.27,26.64,,,0.9889605331,20.32,29.845,40,26.455,20.32,29.845,38.77,26.455,0.04305530524,0.00001155386742,0.3009034026,0.3439702617,0.1251715919,0.00003358972769,0.8747948183
9.3,20.25,19.81,,,1.553304961,31.37,31.31,,,0.1353746231,40,40,,,0,24.64,24.34,,,0.8661985886,20.03,31.34,40,24.49,20.03,31.34,38.77,24.49,0.01249361533,0.00000944993195,0.9608428029,0.9733458682,0.01283574086,0.000009708709164,0.9871545504
10.1,20.44,19.38,,,3.76460667,40,34.94,,,9.548866594,39.59,40,,,0.728518106,27.81,27.86,,,0.1270175644,19.91,37.47,39.795,27.835,19.91,37.47,38.565,27.835,0.0001641536929,0.00001002342698,0.08701285257,0.08718702969,0.001882776526,0.0001149646572,0.9980022588
10.2,18.2,18.19,,,0.03886269751,40,35.45,,,8.528391927,40,40,,,0,26.73,27.12,,,1.024221521,18.195,37.725,40,26.925,18.195,37.725,38.77,26.925,0.00004190072773,0.000002648735786,0.04980285731,0.04984740677,0.0008405798906,0.00005313688228,0.9991062832
