UniqueID,Site,Tag,Array,Genotype,FragID,TissueSampledT0,TissueSampledT24,T0_Status,T0_SA,T12_Status,T12_SA,T12_V,T12_Vhull,T12_IS,T15_Status,T15_SA,T15_V,T15_Vhull,T15_IS,T18_Status,T18_SA,T18_V,T18_Vhull,T18_IS,T24_Status,T24_SA,T24_V,T24_Vhull,T24_IS,T24_Dead,T24_TOD,T24_TOD_mod,T0_V,T0_IS
EDR32,Eastern Dry Rocks,32,1,AP13-X5,1,1,1,A,4.192,D,63.300232,17.384077,24.54369,7.159613,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,6,6,0,0
EDR33,Eastern Dry Rocks,33,1,AP13-X9,5,1,1,A,6.7,A,NA,NA,NA,NA,A,151.682922,26.806671,44.6698,17.863129,A,246.224197,65.771927,128.001343,62.229416,A,586.278076,179.793976,676.565674,496.771698,0,24,25,0,0
EDR34,Eastern Dry Rocks,34,1,AP13-XK,5,1,1,A,6.698,A,NA,NA,NA,NA,A,89.936325,28.86178,51.939556,23.077776,A,145.633224,43.748901,88.601883,44.852982,A,331.996277,105.335594,321.392181,216.056587,0,24,25,0,0
EDR35,Eastern Dry Rocks,35,1,AP14-5,2,1,0,A,7.201,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,3,3,0,0
EDR36,Eastern Dry Rocks,36,2,AP13-X7,2,0,1,A,6.098,A,NA,NA,NA,NA,A,109.182373,18.869646,33.09827,14.228624,A,174.496307,32.605705,58.523232,25.917527,A,392.185791,89.050385,183.209335,94.15895,0,24,25,0,0
EDR37,Eastern Dry Rocks,37,2,AP13-X5,2,0,0,A,5.134,A,94.935226,27.12944,47.19717,20.06773,A,NA,NA,NA,NA,A,142.221298,35.997196,73.970001,37.972805,A,299.405609,73.164078,162.193115,89.029037,0,24,25,0,0
EDR38,Eastern Dry Rocks,38,2,AP13-X9,1,0,1,A,5.4,A,63.273628,8.322543,13.271053,4.94851,A,NA,NA,NA,NA,A,116.693344,23.198109,36.334766,13.136657,A,237.476944,46.835266,99.783546,52.94828,0,24,25,0,0
EDR39,Eastern Dry Rocks,39,2,AP13-XK,1,0,1,A,6.223,A,NA,NA,NA,NA,A,NA,NA,NA,NA,A,90.228462,8.508112,16.835995,8.327883,A,211.109406,22.515829,47.329006,24.813177,0,24,25,0,0
EDR40,Eastern Dry Rocks,40,2,AP14-5,1,0,1,A,6.798,A,NA,NA,NA,NA,A,85.610832,23.487179,37.096767,13.609588,A,121.20713,36.615101,61.718105,25.103004,A,198.830231,69.763306,122.063644,52.300338,0,24,25,0,0
EDR41,Eastern Dry Rocks,41,3,AP13-X7,1,0,1,A,6.445,A,NA,NA,NA,NA,A,84.644997,14.77618,23.335251,8.559071,A,121.928017,35.989231,55.993828,20.004597,A,NA,NA,NA,NA,0,24,25,0,0
EDR42,Eastern Dry Rocks,42,3,AP13-X5,3,0,0,A,4.571,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,3,3,0,0
EDR43,Eastern Dry Rocks,43,3,AP13-X9,2,0,0,A,5.63,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,3,3,0,0
EDR44,Eastern Dry Rocks,44,3,AP13-XK,3,0,0,A,6.561,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,6,6,0,0
EDR45,Eastern Dry Rocks,45,3,AP14-5,3,0,1,A,6.946,A,132.430405,34.330006,65.702789,31.372783,A,178.044266,46.466377,96.820038,50.353661,A,300.59967,76.619537,190.101654,113.482117,A,417.872162,108.523994,257.265137,148.741143,0,24,25,0,0
ES31,Eastern Sambo,31,1,AP13-X7,19,1,1,A,8.357,A,NA,NA,NA,NA,A,111.325844,31.285755,55.690056,24.404301,A,161.793106,37.820164,76.772194,38.95203,A,284.149628,82.776894,186.518372,103.741478,0,24,25,0,0
ES32,Eastern Sambo,32,1,AP13-X5,20,1,1,A,4.775,A,NA,NA,NA,NA,A,105.588036,24.914097,45.230324,20.316227,A,147.973663,31.945227,66.526299,34.581072,A,225.059021,61.129784,173.74559,112.615806,0,24,25,0,0
ES33,Eastern Sambo,33,1,AP13-X9,17,1,0,A,7.18,A,NA,NA,NA,NA,A,93.16581,19.187321,28.707575,9.520254,A,125.300339,20.35491,32.96183,12.60692,A,272.154175,62.986145,123.489021,60.502876,0,24,25,0,0
ES34,Eastern Sambo,34,1,AP13-XK,12,1,1,A,6.445,A,NA,NA,NA,NA,A,56.60099,7.746842,12.57086,4.824018,A,96.439598,12.495369,20.934772,8.439403,A,210.993958,24.644129,50.76976,26.125631,0,24,25,0,0
ES35,Eastern Sambo,35,1,AP14-5,16,1,1,A,7.53,A,NA,NA,NA,NA,A,50.447659,10.634057,16.626751,5.992694,A,96.309731,13.286261,21.732792,8.446531,A,154.676529,39.407795,85.681435,46.27364,0,24,25,0,0
ES36,Eastern Sambo,36,2,AP13-X7,16,1,1,A,6.393,A,NA,NA,NA,NA,A,87.045937,16.243778,24.492151,8.248373,A,140.26828,29.91169,46.298637,16.386947,A,253.594971,60.992149,94.039253,33.047104,0,24,25,0,0
ES37,Eastern Sambo,37,2,AP13-X5,16,0,1,A,4.761,A,NA,NA,NA,NA,A,69.393608,13.820741,23.134115,9.313374,A,124.042717,28.448931,48.907928,20.458997,A,260.896851,61.527199,135.744492,74.217293,0,24,25,0,0
ES38,Eastern Sambo,38,2,AP13-X9,14,0,1,A,5.38,A,NA,NA,NA,NA,A,89.748161,19.833942,32.121815,12.287873,A,132.81076,27.79113,49.649719,21.858589,A,281.790649,56.799858,112.156548,55.35669,0,24,25,0,0
ES39,Eastern Sambo,39,2,AP13-XK,20,0,1,A,7.14,A,NA,NA,NA,NA,A,74.125359,5.054564,8.551336,3.496772,A,122.237869,6.871834,12.542737,5.670903,A,233.821854,7.308707,14.139056,6.830349,0,24,25,0,0
ES40,Eastern Sambo,40,2,AP14-5,17,0,1,A,7.415,A,NA,NA,NA,NA,A,108.353531,31.66906,51.571571,19.902511,A,184.163651,48.567059,98.902786,50.335727,A,363.796173,117.120926,207.934097,90.813171,0,24,25,0,0
ES41,Eastern Sambo,41,3,AP13-X7,17,0,1,A,6.486,A,NA,NA,NA,NA,A,57.399948,11.687781,19.362314,7.674533,A,57.67651,9.286571,19.134167,9.847596,A,144.208954,30.03768,50.808773,20.771093,0,24,25,0,0
ES42,Eastern Sambo,42,3,AP13-X5,18,0,1,A,3.683,A,NA,NA,NA,NA,A,60.819897,18.09573,26.979496,8.883766,A,87.263451,23.618399,40.98687,17.368471,A,23.873882,12.503819,25.647627,13.143808,0,24,25,0,0
ES43,Eastern Sambo,43,3,AP13-X9,16,0,1,A,6.267,A,NA,NA,NA,NA,A,102.843025,25.284,41.501713,16.217713,A,133.579052,41.340126,81.104734,39.764608,A,282.370941,84.112167,233.778152,149.665985,0,24,25,0,0
ES44,Eastern Sambo,44,3,AP13-XK,21,0,1,A,6.257,A,NA,NA,NA,NA,A,89.669121,9.237609,20.10508,10.867471,A,139.258148,17.209309,36.951801,19.742492,A,240.18457,32.782578,69.032944,36.250366,0,24,25,0,0
ES45,Eastern Sambo,45,3,AP14-5,18,0,1,A,6.116,A,NA,NA,NA,NA,A,80.397652,18.844109,30.181292,11.337183,A,154.848541,34.823086,74.600487,39.777401,A,298.149719,83.770638,240.757919,156.987281,0,24,25,0,0
LK31,Looe Key,31,1,AP13-X7,30,1,1,A,7.523,A,NA,NA,NA,NA,A,26.354004,4.575267,7.614741,3.039474,A,36.073414,9.48888,13.620832,4.131952,A,70.19149,9.832721,16.649508,6.816787,0,24,25,0,0
LK32,Looe Key,32,1,AP13-X5,30,1,1,A,4.881,A,NA,NA,NA,NA,A,36.664036,4.998413,11.7205,6.722087,A,51.30584,8.70408,18.372547,9.668467,A,100.367622,16.130573,37.453491,21.322918,0,24,25,0,0
LK33,Looe Key,33,1,AP13-X9,29,1,1,A,6.299,A,NA,NA,NA,NA,A,60.376373,9.436522,17.669456,8.232934,A,75.183212,14.045879,25.70628,11.660401,A,126.055382,18.780125,41.280743,22.500618,0,24,25,0,0
LK34,Looe Key,34,1,AP13-XK,17,1,1,A,9.427,A,NA,NA,NA,NA,A,28.898394,2.660498,6.253384,3.592886,A,35.852245,3.768648,7.902497,4.133849,A,56.54409,4.820633,11.350393,6.52976,0,24,25,0,0
