UniqueID,Site,Tag,Array,Genotype,FragID,TissueSampledT0,TissueSampledT24,T0_Status,T0_SA,T12_Status,T12_SA,T12_V,T12_Vhull,T12_IS,T15_Status,T15_SA,T15_V,T15_Vhull,T15_IS,T18_Status,T18_SA,T18_V,T18_Vhull,T18_IS,T24_Status,T24_SA,T24_V,T24_Vhull,T24_IS,T24_Dead,T24_TOD,T24_TOD_mod,T0_V,T0_IS
M32.44,Marker 32,44,3,AP13-XK,30,0,0,A,7.942,A,NA,NA,NA,NA,A,47.588886,3.695763,6.786645,3.090882,A,54.245106,5.72424,8.539291,2.815051,A,74.292763,5.057373,9.402853,4.34548,0,24,25,0,0
M32.45,Marker 32,45,3,AP14-5,7,0,1,A,6.898,A,50.335167,12.575714,20.371946,7.796232,A,65.349747,14.542433,29.676901,15.134468,A,92.043793,18.511059,41.037891,22.526832,A,177.037308,48.309097,75.513153,27.204056,0,24,25,0,0
MS31,Maryland Shoals,31,1,AP13-X7,6,1,1,A,7.81,A,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,15,15,0,0
MS32,Maryland Shoals,32,1,AP13-X5,9,1,1,A,6.317,A,NA,NA,NA,NA,A,18.464184,5.16433,10.170564,5.006234,A,22.418543,3.402267,5.735033,2.332766,A,4.010429,0.947848,1.218484,0.270636,0,24,25,0,0
MS33,Maryland Shoals,33,1,AP13-X9,8,1,0,A,6.604,A,24.302374,8.221887,13.745565,5.523678,A,21.623852,8.668984,13.040012,4.371028,A,44.032372,15.170522,23.022209,7.851687,D,NA,NA,NA,NA,1,20,24,0,0
MS34,Maryland Shoals,34,1,AP13-XK,6,1,0,A,7.731,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,12,12,0,0
MS35,Maryland Shoals,35,1,AP14-5,7,0,1,A,8.095,A,NA,NA,NA,NA,A,38.609024,5.223085,13.103476,7.880391,A,76.020866,7.643168,20.9911,13.347932,A,11.78593,2.086652,4.250796,2.164144,0,24,25,0,0
MS36,Maryland Shoals,36,2,AP13-X7,8,0,1,A,7.353,A,NA,NA,NA,NA,A,51.955978,8.568441,14.998462,6.430021,A,76.323242,12.783957,22.18779,9.403833,A,131.230057,19.991432,38.346928,18.355496,0,24,25,0,0
MS37,Maryland Shoals,37,2,AP13-X5,7,0,1,A,5.002,A,NA,NA,NA,NA,A,45.999176,11.716412,19.983479,8.267067,A,58.763996,15.257483,26.831158,11.573675,A,138.169006,32.608448,76.743614,44.135166,0,24,25,0,0
MS38,Maryland Shoals,38,2,AP13-X9,7,0,1,A,5.882,A,NA,NA,NA,NA,A,58.641117,8.347961,15.491907,7.143946,A,86.867401,12.767339,23.454578,10.687239,A,157.501831,14.569337,31.662403,17.093066,0,24,25,0,0
MS39,Maryland Shoals,39,2,AP13-XK,9,0,1,A,7.45,A,NA,NA,NA,NA,A,69.529816,4.208536,6.567612,2.359076,A,96.889084,4.631327,6.842569,2.211242,A,181.242813,3.529188,8.966948,5.43776,0,24,25,0,0
MS40,Maryland Shoals,40,2,AP14-5,8,0,1,A,7.571,A,68.463478,9.798729,20.345451,10.546722,A,92.237106,13.947424,31.60224,17.654816,A,110.488991,16.653624,41.169163,24.515539,A,217.797287,35.072609,93.746277,58.673668,0,24,25,0,0
MS41,Maryland Shoals,41,3,AP13-X7,9,0,1,A,7.086,A,NA,NA,NA,NA,A,32.024891,2.956379,4.204401,1.248022,A,51.617821,3.973853,5.98031,2.006457,A,82.700928,4.963809,8.740207,3.776398,0,24,25,0,0
MS42,Maryland Shoals,42,3,AP13-X5,8,0,1,A,5.222,A,NA,NA,NA,NA,A,43.569687,6.317599,11.52914,5.211541,A,78.97168,13.406523,26.093014,12.686491,A,161.135147,39.582695,79.227806,39.645111,0,24,25,0,0
MS43,Maryland Shoals,43,3,AP13-X9,9,0,1,A,7.058,A,NA,NA,NA,NA,A,44.874035,8.549354,15.035949,6.486595,A,80.465553,13.922307,26.358246,12.435939,A,163.439316,31.566553,64.149086,32.582533,0,24,25,0,0
MS44,Maryland Shoals,44,3,AP13-XK,10,0,1,A,7.269,A,NA,NA,NA,NA,A,46.423557,2.416854,3.924335,1.507481,A,77.581703,4.196735,6.3697,2.172965,A,168.011276,3.025386,7.709548,4.684162,0,24,25,0,0
MS45,Maryland Shoals,45,3,AP14-5,11,0,1,A,7.831,A,NA,NA,NA,NA,A,45.018589,4.690558,8.720435,4.029877,A,69.517654,6.262388,14.72521,8.462822,A,154.703751,25.748041,53.66114,27.913099,0,24,25,0,0
WS31,Western Sambo,31,1,AP13-X7,10,1,1,A,6.793,A,NA,NA,NA,NA,A,53.712032,5.705488,10.060971,4.355483,A,79.893517,8.973052,15.107667,6.134615,A,157.237411,19.529032,33.175529,13.646497,0,24,25,0,0
WS32,Western Sambo,32,1,AP13-X5,14,1,1,A,4.534,A,39.692863,9.363834,13.515155,4.151321,A,69.58255,18.5707,29.958715,11.388015,A,99.886795,25.85491,50.230927,24.376017,A,264.31781,78.931274,194.706039,115.774765,0,24,25,0,0
WS33,Western Sambo,33,1,AP13-X9,18,1,1,A,5.702,A,60.891617,15.125898,23.791624,8.665726,A,107.029434,31.161186,51.974495,20.813309,A,160.050095,43.390629,87.962967,44.572338,A,339.408051,101.938774,283.568848,181.630074,0,24,25,0,0
WS34,Western Sambo,34,1,AP13-XK,8,1,1,A,5.812,A,NA,NA,NA,NA,A,54.210274,4.349381,7.901621,3.55224,A,85.611557,8.303018,14.381306,6.078288,A,197.990662,31.655739,65.859589,34.20385,0,24,25,0,0
WS35,Western Sambo,35,1,AP14-5,10,1,1,A,6.208,A,NA,NA,NA,NA,A,81.492928,15.919624,21.886162,5.966538,A,152.963181,33.935612,57.228626,23.293014,A,312.412018,41.14164,92.439392,51.297752,0,24,25,0,0
WS36,Western Sambo,36,2,AP13-X5,12,0,1,A,4.308,A,NA,NA,NA,NA,A,7.580139,1.745631,2.564203,0.818572,A,9.899651,2.914249,3.913625,0.999376,A,35.000149,8.422912,12.863894,4.440982,0,24,25,0,0
WS37,Western Sambo,37,2,AP13-X9,12,0,1,A,5.202,A,NA,NA,NA,NA,A,26.517578,5.414113,7.557597,2.143484,A,37.774376,8.777433,12.077037,3.299604,A,79.923058,24.870104,41.391045,16.520941,0,24,25,0,0
WS38,Western Sambo,38,2,AP13-XK,18,0,1,A,6.064,A,NA,NA,NA,NA,A,40.570744,3.500522,5.154733,1.654211,A,52.567932,4.380165,7.37457,2.994405,A,114.23204,3.719959,7.594823,3.874864,0,24,25,0,0
WS39,Western Sambo,39,2,AP14-5,14,0,1,A,6.344,A,NA,NA,NA,NA,A,1.21413,0.11479,0.163193,0.048403,A,1.490743,0.096501,0.228401,0.1319,A,2.372971,0.292037,0.557474,0.265437,0,24,25,0,0
WS40,Western Sambo,40,2,AP13-X7,14,0,1,A,5.776,A,NA,NA,NA,NA,A,11.416339,1.023812,2.036677,1.012865,A,22.832323,2.372487,3.538834,1.166347,A,86.980385,11.993897,21.508894,9.514997,0,24,25,0,0
WS41,Western Sambo,41,3,AP13-X7,15,0,0,A,6.137,A,NA,NA,NA,NA,A,30.474463,6.535702,9.109732,2.57403,A,54.9785,8.040899,11.547563,3.506664,A,144.34169,31.040606,57.34827,26.307664,0,24,25,0,0
WS42,Western Sambo,42,3,AP13-X5,15,0,1,A,4.057,A,28.109274,5.655873,8.726968,3.071095,A,29.88637,11.411794,17.101074,5.68928,A,53.885468,15.364552,25.444284,10.079732,A,126.610039,29.912104,72.889435,42.977331,0,24,25,0,0
WS43,Western Sambo,43,3,AP13-X9,13,0,0,A,5.253,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,6,6,0,0
WS44,Western Sambo,44,3,AP13-XK,19,0,1,A,6.753,A,NA,NA,NA,NA,A,39.831215,4.439252,8.137749,3.698497,A,73.026123,6.862722,13.638561,6.775839,A,16.467371,3.546924,12.718359,9.171435,0,24,25,0,0
WS45,Western Sambo,45,3,AP14-5,16,1,1,A,6.716,A,NA,NA,NA,NA,A,44.286301,10.530397,16.359915,5.829518,A,73.778091,17.162497,26.566334,9.403837,A,79.220407,26.038692,57.485512,31.44682,0,24,25,0,0
